Timestamp,Name group member #1,Name group member #2,Email address #1,Email address member #2,Do you have an Android device (phone or tablet) with OS version 2.3.1 or later?,You will work with ...,,,,,,,,,,,,,,ones
11/27/2012 3:55:25,Raja Haider,Susanne,email@email.com1,email@email.com21,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 3:56:06,Hassan,hsusein,email@email.com2,email@email.com32,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 3:57:24,Osama,Morgan,email@email.com3,email@email.com43,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 3:57:36,Malek,Martin,email@email.com4,email@email.com55,,Arduino,,,,,,,,,,,,,,1
11/27/2012 4:04:40,Yousef,Julius,email@email.com5,email@email.com64,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 4:04:56,Anton,Ermin,email@email.com6,email@email.com75,,Arduino,,,,,,,,,,,,,,1
11/27/2012 4:06:31,rosita,Marcus,email@email.com7,email@email.com87,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 4:15:36,Patrik,Anton,email@email.com8,email@email.com90,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 5:44:16,Robin,David,email@email.com9,email@email.com100,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 6:10:05,Michael,Changzhou,email@email.com10,email@email.com114,,Arduino,,,,,,,,,,,,,,1
11/27/2012 6:55:14,Samir,Andreas,email@email.com11,email@email.com125,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 7:31:28,David,Nikola,email@email.com12,email@email.com136,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 9:08:57,Mohammad,Christoffer,email@email.com13,email@email.com147,Yes I do,Arduino,,,,,,,,,,,,,,1
11/27/2012 9:09:32,Jonatan,Mahmoud,email@email.com14,email@email.com15,,Arduino,,,,,,,,,,,,,,1
11/27/2012 10:49:11,Alexander,Nusar,email@email.com15,email@email.com166,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 13:03:43,Mara,Pavle,email@email.com16,email@email.com177,Yes I do,Arduino,,,,,,,,,,,,,,1
11/28/2012 0:28:02,Christer,Tobias ,email@email.com17,email@email.com188,Yes I do,Android App,,,,,,,,,,,,,,
11/27/2012 4:04:40,Filip,Selab,email@email.com5,email@email.com68,Yes I do,Android App,,,,,,,,,,,,,,1
11/27/2012 4:04:56,Joacim,Ida,email@email.com6,email@email.com74,,Arduino,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,1
